# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 500,500,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.332,0.332,30.006
0.000,1,-16.639,0.332,30.006
0.000,2,0.332,-16.639,30.006
0.000,3,-33.609,0.332,30.006
0.000,4,0.332,-33.609,30.006
0.000,5,-50.580,0.332,30.006
0.000,6,0.332,-50.580,30.006
0.000,7,-67.551,0.332,30.006
0.000,8,0.332,-67.551,30.006
0.000,9,-84.521,0.332,30.006
0.000,10,0.332,-84.521,30.006
0.000,11,-101.492,0.332,30.006
0.000,12,0.332,-101.492,30.006
0.000,13,-118.462,0.332,30.006
0.000,14,0.332,-118.462,30.006
0.100,0,0.679,0.679,30.018
0.100,1,-16.292,0.679,30.018
0.100,2,0.679,-16.292,30.018
0.100,3,-33.262,0.679,30.018
0.100,4,0.679,-33.262,30.018
0.100,5,-50.233,0.679,30.018
0.100,6,0.679,-50.233,30.018
0.100,7,-67.204,0.679,30.018
0.100,8,0.679,-67.204,30.018
0.100,9,-84.174,0.679,30.018
0.100,10,0.679,-84.174,30.018
0.100,11,-101.145,0.679,30.018
0.100,12,0.679,-101.145,30.018
0.100,13,-118.115,0.679,30.018
0.100,14,0.679,-118.115,30.018
0.200,0,1.043,1.043,30.037
0.200,1,-15.928,1.043,30.037
0.200,2,1.043,-15.928,30.037
0.200,3,-32.899,1.043,30.037
0.200,4,1.043,-32.899,30.037
0.200,5,-49.869,1.043,30.037
0.200,6,1.043,-49.869,30.037
0.200,7,-66.840,1.043,30.037
0.200,8,1.043,-66.840,30.037
0.200,9,-83.810,1.043,30.037
0.200,10,1.043,-83.810,30.037
0.200,11,-100.781,1.043,30.037
0.200,12,1.043,-100.781,30.037
0.200,13,-117.751,1.043,30.037
0.200,14,1.043,-117.751,30.037
0.300,0,1.424,1.424,30.062
0.300,1,-15.546,1.424,30.062
0.300,2,1.424,-15.546,30.062
0.300,3,-32.517,1.424,30.062
0.300,4,1.424,-32.517,30.062
0.300,5,-49.487,1.424,30.062
0.300,6,1.424,-49.487,30.062
0.300,7,-66.458,1.424,30.062
0.300,8,1.424,-66.458,30.062
0.300,9,-83.428,1.424,30.062
0.300,10,1.424,-83.428,30.062
0.300,11,-100.399,1.424,30.062
0.300,12,1.424,-100.399,30.062
0.300,13,-117.370,1.424,30.062
0.300,14,1.424,-117.370,30.062
0.400,0,1.825,1.825,30.092
0.400,1,-15.145,1.825,30.092
0.400,2,1.825,-15.145,30.092
0.400,3,-32.116,1.825,30.092
0.400,4,1.825,-32.116,30.092
0.400,5,-49.086,1.825,30.092
0.400,6,1.825,-49.086,30.092
0.400,7,-66.057,1.825,30.092
0.400,8,1.825,-66.057,30.092
0.400,9,-83.027,1.825,30.092
0.400,10,1.825,-83.027,30.092
0.400,11,-99.998,1.825,30.092
0.400,12,1.825,-99.998,30.092
0.400,13,-116.969,1.825,30.092
0.400,14,1.825,-116.969,30.092
0.500,0,2.247,2.247,30.127
0.500,1,-14.724,2.247,30.127
0.500,2,2.247,-14.724,30.127
0.500,3,-31.695,2.247,30.127
0.500,4,2.247,-31.695,30.127
0.500,5,-48.665,2.247,30.127
0.500,6,2.247,-48.665,30.127
0.500,7,-65.636,2.247,30.127
0.500,8,2.247,-65.636,30.127
0.500,9,-82.606,2.247,30.127
0.500,10,2.247,-82.606,30.127
0.500,11,-99.577,2.247,30.127
0.500,12,2.247,-99.577,30.127
0.500,13,-116.547,2.247,30.127
0.500,14,2.247,-116.547,30.127
0.600,0,2.689,2.689,30.166
0.600,1,-14.282,2.689,30.166
0.600,2,2.689,-14.282,30.166
0.600,3,-31.253,2.689,30.166
0.600,4,2.689,-31.253,30.166
0.600,5,-48.223,2.689,30.166
0.600,6,2.689,-48.223,30.166
0.600,7,-65.194,2.689,30.166
0.600,8,2.689,-65.194,30.166
0.600,9,-82.164,2.689,30.166
0.600,10,2.689,-82.164,30.166
0.600,11,-99.135,2.689,30.166
0.600,12,2.689,-99.135,30.166
0.600,13,-116.105,2.689,30.166
0.600,14,2.689,-116.105,30.166
0.700,0,3.152,3.152,30.210
0.700,1,-13.819,3.152,30.210
0.700,2,3.152,-13.819,30.210
0.700,3,-30.789,3.152,30.210
0.700,4,3.152,-30.789,30.210
0.700,5,-47.760,3.152,30.210
0.700,6,3.152,-47.760,30.210
0.700,7,-64.731,3.152,30.210
0.700,8,3.152,-64.731,30.210
0.700,9,-81.701,3.152,30.210
0.700,10,3.152,-81.701,30.210
0.700,11,-98.672,3.152,30.210
0.700,12,3.152,-98.672,30.210
0.700,13,-115.642,3.152,30.210
0.700,14,3.152,-115.642,30.210
0.800,0,3.636,3.636,30.258
0.800,1,-13.334,3.636,30.258
0.800,2,3.636,-13.334,30.258
0.800,3,-30.305,3.636,30.258
0.800,4,3.636,-30.305,30.258
0.800,5,-47.275,3.636,30.258
0.800,6,3.636,-47.275,30.258
