time,node_id,slot_id,num_groups,packets_per_slot,bonus_slots,urgency
0,0,14,15,4,none,0
0,1,13,15,4,none,0
0,2,12,15,4,none,0
0,3,11,15,4,none,0
0,4,10,15,4,none,0
0,5,9,15,4,none,0
0,6,8,15,4,none,0
0,7,7,15,4,none,0
0,8,6,15,4,none,0
0,9,5,15,4,none,0
0,10,4,15,4,none,0
0,11,3,15,4,none,0
0,12,2,15,4,none,0
0,13,1,15,4,none,0
0,14,0,15,4,none,0
8,0,14,15,4,none,0.0596032
8,1,13,15,4,none,0.0596032
8,2,12,15,4,none,0.0596032
8,3,11,15,4,none,0.0596032
8,4,10,15,4,none,0.0596032
8,5,9,15,4,none,0.0562368
8,6,8,15,4,none,0.0562368
8,7,7,15,4,none,0.0562368
8,8,6,15,4,none,0.0562368
8,9,5,15,4,none,0.0562368
8,10,4,15,4,none,0.0562368
8,11,3,15,4,none,0.0562368
8,12,2,15,4,none,0.0562368
8,13,1,15,4,none,0.0562368
8,14,0,15,4,none,0.0562368
13,0,14,15,4,none,0.0562368
13,1,13,15,4,none,0.0562368
13,2,12,15,4,none,0.0562368
13,3,11,15,4,none,0.0562368
13,4,10,15,4,none,0.0562368
13,5,9,15,4,none,0.0562368
13,6,8,15,4,none,0.0562368
13,7,7,15,4,none,0.0562368
13,8,6,15,4,none,0.0562368
13,9,5,15,4,none,0.0562368
13,10,4,15,4,none,0.0596032
13,11,3,15,4,none,0.0596032
13,12,2,15,4,none,0.0596032
13,13,1,15,4,none,0.0596032
13,14,0,15,4,none,0.0596032
18,0,14,15,4,none,0.0562368
18,1,13,15,4,none,0.0562368
18,2,12,15,4,none,0.0562368
18,3,11,15,4,none,0.0562368
18,4,10,15,4,none,0.0562368
18,5,9,15,4,none,0.0596032
18,6,8,15,4,none,0.0596032
18,7,7,15,4,none,0.0596032
18,8,6,15,4,none,0.0596032
18,9,5,15,4,none,0.0596032
18,10,4,15,4,none,0.0562368
18,11,3,15,4,none,0.0562368
18,12,2,15,4,none,0.0562368
18,13,1,15,4,none,0.0562368
18,14,0,15,4,none,0.0562368
23,0,14,15,4,none,0.0596032
23,1,13,15,4,none,0.0596032
23,2,12,15,4,none,0.0596032
23,3,11,15,4,none,0.0596032
23,4,10,15,4,none,0.0596032
23,5,9,15,4,none,0.0562368
23,6,8,15,4,none,0.0562368
23,7,7,15,4,none,0.0562368
23,8,6,15,4,none,0.0562368
23,9,5,15,4,none,0.0562368
23,10,4,15,4,none,0.0562368
23,11,3,15,4,none,0.0562368
23,12,2,15,4,none,0.0562368
23,13,1,15,4,none,0.0562368
23,14,0,15,4,none,0.0562368
28,0,14,15,4,none,0.0562368
28,1,13,15,4,none,0.0562368
28,2,12,15,4,none,0.0562368
28,3,11,15,4,none,0.0562368
28,4,10,15,4,none,0.0562368
28,5,9,15,4,none,0.0562368
28,6,8,15,4,none,0.0562368
28,7,7,15,4,none,0.0562368
28,8,6,15,4,none,0.0562368
28,9,5,15,4,none,0.0562368
28,10,4,15,4,none,0.0596032
28,11,3,15,4,none,0.0596032
28,12,2,15,4,none,0.0596032
28,13,1,15,4,none,0.0596032
28,14,0,15,4,none,0.0596032
33,0,14,15,4,none,0.0562368
33,1,13,15,4,none,0.0562368
33,2,12,15,4,none,0.0562368
33,3,11,15,4,none,0.0562368
33,4,10,15,4,none,0.0562368
33,5,9,15,4,none,0.0596032
33,6,8,15,4,none,0.0596032
33,7,7,15,4,none,0.0596032
33,8,6,15,4,none,0.0596032
33,9,5,15,4,none,0.0596032
33,10,4,15,4,none,0.0562368
33,11,3,15,4,none,0.0562368
33,12,2,15,4,none,0.0562368
33,13,1,15,4,none,0.0562368
33,14,0,15,4,none,0.0562368
38,0,14,15,4,none,0.0596032
38,1,13,15,4,none,0.0596032
38,2,12,15,4,none,0.0596032
38,3,11,15,4,none,0.0596032
38,4,10,15,4,none,0.0596032
38,5,9,15,4,none,0.0562368
38,6,8,15,4,none,0.0562368
38,7,7,15,4,none,0.0562368
38,8,6,15,4,none,0.0562368
38,9,5,15,4,none,0.0562368
38,10,4,15,4,none,0.0562368
38,11,3,15,4,none,0.0562368
38,12,2,15,4,none,0.0562368
38,13,1,15,4,none,0.0562368
38,14,0,15,4,none,0.0562368
43,0,14,15,4,none,0.0562368
43,1,13,15,4,none,0.0562368
43,2,12,15,4,none,0.0562368
43,3,11,15,4,none,0.0562368
43,4,10,15,4,none,0.0562368
43,5,9,15,4,none,0.0562368
43,6,8,15,4,none,0.0562368
43,7,7,15,4,none,0.0562368
43,8,6,15,4,none,0.0562368
43,9,5,15,4,none,0.0562368
43,10,4,15,4,none,0.0596032
43,11,3,15,4,none,0.0596032
43,12,2,15,4,none,0.0596032
43,13,1,15,4,none,0.0596032
43,14,0,15,4,none,0.0596032
