time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.2,0,14.8787,8.56063,1,13.6747,9.16266,2,13.6747,9.16263,0,13.1765,9.41176,0,12.7665,9.61676,0,13.1765,9.41175,0,13.4747,9.26264,0,12.7258,9.63712,0,12.7258,9.63711,0,13.4746,9.26268,0,14.5319,8.73404,0,13.5788,9.21061,0,13.2453,9.37733,0,13.5788,9.21059,0,14.532,8.73401
5.2,0,14.8788,8.5606,1,13.6747,9.16263,2,13.6747,9.16263,0,13.1765,9.41173,0,12.7665,9.61674,0,13.1765,9.41173,0,13.4747,9.26264,0,12.7258,9.63711,0,12.7258,9.63711,0,13.4747,9.26264,0,14.5321,8.73397,0,13.5788,9.2106,0,13.2453,9.37733,0,13.5788,9.2106,0,14.5321,8.73397
10.2,0,14.8788,8.56059,1,13.6746,9.16268,2,13.6747,9.16267,0,13.1765,9.41174,0,12.7665,9.61676,0,13.1765,9.41173,0,13.4747,9.26266,0,12.7257,9.63713,0,12.7258,9.63712,0,13.4747,9.26265,0,14.532,8.73399,0,13.5788,9.21062,0,13.2453,9.37735,0,13.5788,9.21061,0,14.532,8.73399
15.2,0,14.8789,8.56056,1,13.6747,9.16264,2,13.6747,9.16264,0,13.1765,9.41176,0,12.7665,9.61676,0,13.1765,9.41176,0,13.4747,9.26265,0,12.7258,9.63711,0,12.7258,9.63711,0,13.4747,9.26265,0,14.532,8.73401,0,13.5788,9.21059,0,13.2454,9.37731,0,13.5788,9.21059,0,14.532,8.73401
20.2,0,14.8788,8.56062,1,13.6747,9.16266,2,13.6747,9.16267,0,13.1765,9.41176,0,12.7665,9.61676,0,13.1765,9.41175,0,13.4747,9.26264,0,12.7258,9.63712,0,12.7258,9.63711,0,13.4747,9.26267,0,14.532,8.73398,0,13.5788,9.21061,0,13.2453,9.37733,0,13.5788,9.21059,0,14.532,8.73401
25.2,0,14.8788,8.56058,1,13.6747,9.16266,2,13.6747,9.16267,0,13.1765,9.41175,0,12.7665,9.61675,0,13.1765,9.41174,0,13.4747,9.26263,0,12.7258,9.63712,0,12.7258,9.63711,0,13.4747,9.26267,0,14.532,8.73398,0,13.5788,9.21061,0,13.2453,9.37733,0,13.5788,9.21059,0,14.532,8.73401
30.2,0,14.8788,8.56058,1,13.6747,9.16266,2,13.6747,9.16266,0,13.1765,9.41174,0,12.7665,9.61677,0,13.1765,9.41176,0,13.4747,9.26266,0,12.7258,9.63711,0,12.7257,9.63713,0,13.4747,9.26265,0,14.532,8.73402,0,13.5788,9.21059,0,13.2453,9.37736,0,13.5788,9.21062,0,14.532,8.73399
35.2,0,14.8789,8.56056,1,13.6747,9.16265,2,13.6747,9.16265,0,13.1765,9.41176,0,12.7665,9.61676,0,13.1765,9.41176,0,13.4747,9.26266,0,12.7258,9.63712,0,12.7258,9.63712,0,13.4747,9.26266,0,14.532,8.73401,0,13.5788,9.21059,0,13.2453,9.37737,0,13.5788,9.21059,0,14.532,8.73401
40.2,0,14.8788,8.56058,1,13.6747,9.16266,2,13.6747,9.16266,0,13.1765,9.41173,0,12.7665,9.61677,0,13.1765,9.41173,0,13.4747,9.26265,0,12.7258,9.63712,0,12.7258,9.63711,0,13.4747,9.26266,0,14.532,8.73399,0,13.5788,9.21062,0,13.2453,9.37735,0,13.5788,9.21058,0,14.532,8.73401
45.2,0,14.8788,8.56062,1,13.6747,9.16267,2,13.6747,9.16266,0,13.1765,9.41174,0,12.7665,9.61677,0,13.1765,9.41176,0,13.4747,9.26267,0,12.7258,9.63712,0,12.7257,9.63713,0,13.4747,9.26264,0,14.532,8.73402,0,13.5788,9.2106,0,13.2453,9.37734,0,13.5788,9.21062,0,14.532,8.73399
50.2,0,14.8788,8.56059,1,13.6747,9.16263,2,13.6747,9.16266,0,13.1765,9.41174,0,12.7665,9.61675,0,13.1766,9.41172,0,13.4747,9.26266,0,12.7258,9.6371,0,12.7258,9.63711,0,13.4747,9.26264,0,14.532,8.73399,0,13.5789,9.21057,0,13.2453,9.37734,0,13.5788,9.2106,0,14.532,8.73398
