time,nodeId,eventType
1.05589,16,Tx Data
1.05785,24,Tx Data
1.05785,29,Tx Data
1.05981,24,Tx Data
1.05981,29,Tx Data
1.06178,28,Tx Data
1.06257,22,Rx Data
1.06374,15,Tx Data
1.06468,24,Rx Data
1.0657,19,Tx Data
1.0657,27,Tx Data
1.06681,24,Rx Data
1.06766,29,Tx Data
1.06963,27,Tx Data
1.07159,24,Tx Data
1.07159,29,Tx Data
1.07325,24,Rx Data
1.07355,29,Tx Data
1.07551,20,Tx Data
1.07551,22,Tx Data
1.07748,17,Tx Data
1.07748,18,Tx Data
1.07748,19,Tx Data
1.07748,23,Tx Data
1.07751,22,Rx Data
1.07944,20,Tx Data
1.08202,20,Rx Data
1.08337,23,Tx Data
1.08337,25,Tx Data
1.08337,28,Tx Data
1.08337,29,Tx Data
1.08533,16,Tx Data
1.08533,21,Tx Data
1.08817,24,Rx Data
1.08925,19,Tx Data
1.09031,24,Rx Data
1.09075,17,Rx Data
1.09122,21,Tx Data
1.09122,22,Tx Data
1.09122,23,Tx Data
1.09246,24,Rx Data
1.09318,15,Tx Data
1.09318,18,Tx Data
1.09318,28,Tx Data
1.09514,15,Tx Data
1.0971,16,Tx Data
1.0971,22,Tx Data
1.0971,28,Tx Data
1.09721,17,Rx Data
1.0989,22,Rx Data
1.09907,25,Tx Data
1.10102,24,Rx Data
1.10299,24,Tx Data
1.10495,17,Tx Data
1.10495,21,Tx Data
1.10692,27,Tx Data
1.10888,24,Tx Data
1.10888,28,Tx Data
1.11084,21,Tx Data
1.11084,27,Tx Data
1.11673,16,Tx Data
1.11673,20,Tx Data
1.11806,22,Rx Data
1.11869,15,Tx Data
1.11869,26,Tx Data
1.1191,25,Rx Data
1.12066,24,Tx Data
1.12262,26,Tx Data
1.12458,20,Tx Data
1.12458,29,Tx Data
1.12654,20,Tx Data
1.12654,22,Tx Data
1.12654,25,Tx Data
1.12654,27,Tx Data
1.13162,17,Rx Data
1.13439,22,Tx Data
1.13439,23,Tx Data
1.13439,26,Tx Data
1.13439,29,Tx Data
1.13622,20,Rx Data
1.13636,24,Tx Data
1.13636,25,Tx Data
1.13636,28,Tx Data
1.13721,22,Rx Data
1.13799,17,Rx Data
1.14028,21,Tx Data
1.14148,16,Rx Data
1.14225,21,Tx Data
1.14225,24,Tx Data
1.14361,24,Rx Data
1.14617,29,Tx Data
1.14813,18,Tx Data
1.14879,17,Rx Data
1.1501,17,Tx Data
1.15206,21,Tx Data
1.15206,26,Tx Data
1.15402,16,Tx Data
1.15598,27,Tx Data
1.15991,17,Tx Data
1.15991,18,Tx Data
1.15991,25,Tx Data
1.1629,24,Rx Data
1.1658,23,Tx Data
1.16776,21,Tx Data
1.16913,20,Rx Data
1.16928,24,Rx Data
1.16972,16,Tx Data
1.17169,19,Tx Data
1.17267,17,Rx Data
1.17353,22,Rx Data
1.17365,19,Tx Data
1.17365,25,Tx Data
1.17365,27,Tx Data
1.17706,20,Rx Data
1.1815,18,Tx Data
1.1815,19,Tx Data
1.18163,25,Rx Data
1.18346,15,Tx Data
1.18346,16,Tx Data
1.18346,18,Tx Data
1.18346,22,Tx Data
1.18346,27,Tx Data
1.1843,25,Rx Data
1.18542,27,Tx Data
1.18542,28,Tx Data
1.18739,26,Tx Data
1.18739,29,Tx Data
1.18935,18,Tx Data
1.19275,16,Rx Data
1.19327,16,Tx Data
1.19524,18,Tx Data
1.1972,26,Tx Data
1.19914,16,Rx Data
1.19916,15,Tx Data
1.19916,17,Tx Data
1.19916,23,Tx Data
1.19916,25,Tx Data
1.20113,16,Tx Data
1.20113,19,Tx Data
1.20113,24,Tx Data
1.20505,17,Tx Data
1.20505,18,Tx Data
1.20701,17,Tx Data
1.20701,21,Tx Data
1.20701,24,Tx Data
1.20701,29,Tx Data
1.20766,22,Rx Data
1.20898,24,Tx Data
1.20898,26,Tx Data
1.21094,25,Tx Data
1.2129,15,Tx Data
1.2129,20,Tx Data
1.2129,21,Tx Data
1.21486,18,Tx Data
1.21486,21,Tx Data
1.21486,26,Tx Data
1.21486,27,Tx Data
1.21683,25,Tx Data
1.21879,17,Tx Data
1.21879,25,Tx Data
1.22271,24,Tx Data
1.22468,29,Tx Data
1.2286,23,Tx Data
1.22882,28,Rx Data
1.23096,26,Rx Data
1.23253,19,Tx Data
1.23253,21,Tx Data
1.23449,17,Tx Data
1.23449,27,Tx Data
1.23645,21,Tx Data
1.23645,22,Tx Data
1.23645,24,Tx Data
1.23645,28,Tx Data
1.23645,29,Tx Data
1.23842,27,Tx Data
1.23842,29,Tx Data
1.23958,22,Rx Data
1.24038,17,Tx Data
1.24038,26,Tx Data
1.24038,27,Tx Data
1.24038,28,Tx Data
1.24234,16,Tx Data
1.24234,17,Tx Data
1.24234,24,Tx Data
1.2443,20,Tx Data
1.2443,22,Tx Data
1.24627,28,Tx Data
1.24799,20,Rx Data
1.24812,16,Rx Data
1.24823,21,Tx Data
1.25019,28,Tx Data
1.25215,26,Tx Data
1.25412,16,Tx Data
1.25412,19,Tx Data
1.25412,28,Tx Data
1.2545,20,Rx Data
1.25608,25,Tx Data
1.25804,15,Tx Data
1.26001,17,Tx Data
1.26001,18,Tx Data
1.26197,17,Tx Data
1.26197,22,Tx Data
1.26372,17,Rx Data
1.26393,24,Tx Data
1.26589,23,Tx Data
1.26589,25,Tx Data
1.26801,20,Rx Data
1.26982,18,Tx Data
1.26982,22,Tx Data
1.26982,26,Tx Data
