time,communication_mode,recovery_policy,effective_recovery_policy,action_type,executor_node_id,target_node_ids,result_state,decision_reason,scene_type,operation_mode
80.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
80.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
81.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
81.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
82.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
82.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
83.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
83.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
84.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
84.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
85.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
85.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
86.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
86.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
87.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
87.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
88.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
88.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
89.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
89.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
90.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
