time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,0.00113812,50496,0.45,0.00186486,37872,1,0.00111399,75744,1,0.00128022,67328,0.428571,0.00287371,25248,0,0,0,1,0.00383169,33664,1,0.0019073,25248,1,0.00223235,16832,0.5,0.00231504,4208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.5,0.000843425,67328,0.326087,0.154492,42080,1,0.000974111,117824,1,0.00152349,112213,0.368421,0.00202742,39274.7,0.222222,0.280246,22442.7,1,0.00280368,95381.3,1,0.00305678,84160,1,0.00136201,78549.3,0.5,0.000747088,36469.3,0.5,0.000501845,33664,0,0,0,1,0.0022819,50496,0.5,0.0004504,22442.7,1,0.00147251,39274.7
4,0.5,0.000959305,75744,0.271429,0.208795,39976,1,0.000813824,143072,1,0.00124517,134656,0.354839,0.00234344,46288,0.316667,0.14072,39976,1,0.00263616,122032,1,0.00240608,117824,1,0.00149041,109408,0.5,0.000874537,52600,0.5,0.000476452,50496,0,0,0,1,0.00178855,88368,0.5,0.00027701,42080,1,0.00120355,79952
5,0.5,0.000822011,80793.6,0.212766,0.215699,33664,1,0.00090645,154854,1,0.00106187,151488,0.383721,0.00219409,55545.6,0.404762,0.100001,57228.8,1,0.00211886,138022,1,0.00340381,134656,1,0.00143308,131290,0.5,0.000637245,62278.4,0.5,0.000466421,60595.2,0,0,0,1,0.00159685,114458,0.640625,0.325488,69011.2,1,0.00114475,104358
6,0.5,0.000776802,85562.7,0.194915,0.231827,32261.3,1,0.000834648,162709,1,0.00110826,159904,0.392857,0.00221207,61717.3,0.435185,0.0837276,65925.3,1,0.00196405,148683,1,0.00309671,145877,1,0.00136077,143072,0.5,0.000592746,70133.3,0.5,0.000445547,67328,0,0,0,1,0.00187558,129045,0.744444,0.134104,93978.7,1,0.00107182,120629
7,0.5,0.000777131,87766.9,0.159722,0.231827,27652.6,1,0.000957471,168320,1,0.00110168,165915,0.389706,0.00241209,63721.1,0.455224,0.0736434,73339.4,1,0.0018632,156297,1,0.00298525,153893,1,0.00146511,151488,0.5,0.000595596,74541.7,0.491803,0.000410349,72137.1,0,0,0,1,0.0017758,139465,0.780702,0.0929013,107003,1,0.00118083,134656
8,0.5,0.000782514,89420,0.166667,0.262929,29456,1,0.000974445,174632,1,0.00118418,170424,0.3875,0.00241258,65224,0.468354,0.0714146,77848,1,0.00172218,164112,1,0.00310768,159904,1,0.00145251,157800,0.5,0.000553349,77848,0.5,0.000419218,76796,0,0,0,1,0.00180652,147280,0.818841,0.0682691,118876,1,0.00133223,143072
9,0.5,0.000842006,90705.8,0.171875,0.289927,30858.7,1,0.00099931,177671,1,0.0012131,173931,0.36413,0.00238423,62652.4,0.489011,0.0671809,83224.9,1,0.00162989,168320,1,0.00322737,166450,1,0.0013651,162709,0.5,0.000540909,80419.6,0.5,0.000428294,79484.4,0,0,0,0.987952,0.00179158,153358,0.845679,0.054031,128110,1,0.00131244,149618
10,0.5,0.000788592,91734.4,0.175926,0.31236,31980.8,1,0.00100469,180102,1,0.00111373,178419,0.355769,0.00226766,62278.4,0.5,0.0669073,86684.8,1,0.00164696,171686,1,0.00306362,170003,1,0.0015241,168320,0.5,0.000511129,82476.8,0.5,0.000437346,81635.2,0,0,0,1,0.00169745,159904,0.860215,0.0454721,134656,1,0.00137257,154854
