time_s,nodeId,eventType
2.010,3,Tx Ack
2.019,2,Rx Ack
2.019,2,Tx Ack
2.019,3,Rx Ack
2.023,2,Tx Data
2.023,3,Rx Data
2.023,3,Tx Ack
2.023,2,Rx Ack
2.027,2,Tx Data
2.027,3,Rx Data
2.031,2,Tx Data
2.031,3,Rx Data
2.031,3,Tx Ack
2.031,2,Rx Ack
2.035,2,Tx Data
2.035,3,Rx Data
2.039,2,Tx Data
2.039,3,Rx Data
2.039,3,Tx Ack
2.040,2,Rx Ack
2.043,2,Tx Data
2.043,3,Rx Data
2.047,2,Tx Data
2.048,3,Rx Data
2.048,3,Tx Ack
2.048,2,Rx Ack
2.050,2,Tx Ack
2.050,3,Rx Ack
2.050,3,Tx Ack
2.050,2,Rx Ack
2.050,2,Tx Ack
2.051,3,Rx Ack
2.204,8,Tx Ack
2.208,4,Rx Ack
2.208,4,Tx Ack
2.208,8,Rx Ack
2.212,4,Tx Data
2.212,8,Rx Data
2.212,8,Tx Ack
2.212,4,Rx Ack
2.216,4,Tx Data
2.216,8,Rx Data
2.220,4,Tx Data
2.220,8,Rx Data
2.220,8,Tx Ack
2.220,4,Rx Ack
2.224,4,Tx Data
2.224,8,Rx Data
2.228,4,Tx Data
2.228,8,Rx Data
2.228,8,Tx Ack
2.229,4,Rx Ack
2.232,4,Tx Data
2.233,8,Rx Data
2.236,4,Tx Data
2.237,8,Rx Data
2.237,8,Tx Ack
2.237,4,Rx Ack
2.241,4,Tx Data
2.241,8,Rx Data
2.245,4,Tx Data
2.245,8,Rx Data
2.245,8,Tx Ack
2.245,4,Rx Ack
2.249,4,Tx Data
2.249,8,Rx Data
2.250,4,Tx Ack
2.250,8,Rx Ack
2.250,8,Tx Ack
2.250,4,Rx Ack
2.250,4,Tx Ack
2.250,8,Rx Ack
2.403,4,Tx Ack
2.408,2,Rx Ack
2.408,2,Tx Ack
2.408,4,Rx Ack
2.412,2,Tx Data
2.412,4,Rx Data
2.412,4,Tx Ack
2.412,2,Rx Ack
2.416,2,Tx Data
2.416,4,Rx Data
2.420,2,Tx Data
2.420,4,Rx Data
2.420,4,Tx Ack
2.420,2,Rx Ack
2.424,2,Tx Data
2.424,4,Rx Data
2.428,2,Tx Data
2.428,4,Rx Data
2.428,4,Tx Ack
2.428,2,Rx Ack
2.432,2,Tx Data
2.432,4,Rx Data
2.436,2,Tx Data
2.437,4,Rx Data
2.437,4,Tx Ack
2.437,2,Rx Ack
2.440,2,Tx Data
2.441,4,Rx Data
2.445,2,Tx Data
2.445,4,Rx Data
2.445,4,Tx Ack
2.445,2,Rx Ack
2.449,2,Tx Data
2.449,4,Rx Data
2.450,2,Tx Ack
2.450,4,Rx Ack
2.450,4,Tx Ack
2.450,2,Rx Ack
2.450,2,Tx Ack
2.451,4,Rx Ack
2.603,5,Tx Ack
2.605,13,Rx Ack
2.605,13,Tx Ack
2.605,5,Rx Ack
2.609,13,Tx Data
2.609,5,Rx Data
2.609,5,Tx Ack
2.609,13,Rx Ack
2.613,13,Tx Data
2.613,5,Rx Data
2.617,13,Tx Data
2.617,5,Rx Data
2.617,5,Tx Ack
2.617,13,Rx Ack
2.621,13,Tx Data
2.621,5,Rx Data
2.625,13,Tx Data
2.625,5,Rx Data
2.625,5,Tx Ack
2.626,13,Rx Ack
2.629,13,Tx Data
2.630,5,Rx Data
2.633,13,Tx Data
2.634,5,Rx Data
2.634,5,Tx Ack
2.634,13,Rx Ack
2.638,13,Tx Data
2.638,5,Rx Data
2.642,13,Tx Data
2.642,5,Rx Data
2.642,5,Tx Ack
2.642,13,Rx Ack
2.646,13,Tx Data
2.646,5,Rx Data
2.650,13,Tx Data
2.650,13,Tx Ack
2.650,5,Rx Data
2.650,5,Tx Ack
2.650,13,Rx Ack
2.650,5,Rx Ack
2.650,5,Tx Ack
2.651,13,Rx Ack
2.651,13,Tx Ack
2.651,5,Rx Ack
3.411,4,Tx Ack
3.417,12,Rx Ack
3.417,12,Tx Ack
3.417,4,Rx Ack
3.421,12,Tx Data
3.421,4,Rx Data
3.421,4,Tx Ack
3.421,12,Rx Ack
3.425,12,Tx Data
3.425,4,Rx Data
3.429,12,Tx Data
3.429,4,Rx Data
3.429,4,Tx Ack
3.429,12,Rx Ack
3.433,12,Tx Data
3.433,4,Rx Data
3.437,12,Tx Data
3.437,4,Rx Data
3.437,4,Tx Ack
3.438,12,Rx Ack
3.441,12,Tx Data
3.442,4,Rx Data
3.445,12,Tx Data
3.446,4,Rx Data
3.446,4,Tx Ack
3.446,12,Rx Ack
3.450,12,Tx Data
3.450,4,Rx Data
3.450,12,Tx Ack
3.450,4,Rx Ack
3.450,4,Tx Ack
3.450,12,Rx Ack
3.450,12,Tx Ack
3.450,4,Rx Ack
4.011,8,Tx Ack
4.012,2,Rx Ack
4.012,2,Tx Ack
4.012,8,Rx Ack
4.016,2,Tx Data
4.016,8,Rx Data
4.016,8,Tx Ack
4.016,2,Rx Ack
4.020,2,Tx Data
4.020,8,Rx Data
4.024,2,Tx Data
4.024,8,Rx Data
4.024,8,Tx Ack
4.025,2,Rx Ack
4.028,2,Tx Data
4.028,8,Rx Data
4.032,2,Tx Data
4.033,8,Rx Data
4.033,8,Tx Ack
4.033,2,Rx Ack
4.036,2,Tx Data
4.037,8,Rx Data
4.041,2,Tx Data
4.041,8,Rx Data
4.041,8,Tx Ack
4.041,2,Rx Ack
4.045,2,Tx Data
4.045,8,Rx Data
4.049,2,Tx Data
4.049,8,Rx Data
4.049,8,Tx Ack
4.049,2,Rx Ack
4.050,2,Tx Ack
4.050,8,Rx Ack
4.050,8,Tx Ack
4.050,2,Rx Ack
4.050,2,Tx Ack
4.051,8,Rx Ack
4.210,5,Tx Ack
4.214,8,Rx Ack
4.214,8,Tx Ack
4.214,5,Rx Ack
4.218,8,Tx Data
4.218,5,Rx Data
4.218,5,Tx Ack
4.218,8,Rx Ack
4.222,8,Tx Data
4.222,5,Rx Data
4.226,8,Tx Data
4.226,5,Rx Data
4.226,5,Tx Ack
4.226,8,Rx Ack
4.230,8,Tx Data
4.230,5,Rx Data
4.234,8,Tx Data
4.234,5,Rx Data
4.234,5,Tx Ack
4.235,8,Rx Ack
4.238,8,Tx Data
4.239,5,Rx Data
4.242,8,Tx Data
4.243,5,Rx Data
4.243,5,Tx Ack
4.243,8,Rx Ack
4.246,8,Tx Data
4.247,5,Rx Data
4.250,8,Tx Ack
4.250,5,Rx Ack
4.250,5,Tx Ack
4.250,8,Rx Ack
4.250,8,Tx Ack
4.250,5,Rx Ack
4.403,0,Tx Ack
4.410,8,Rx Ack
4.410,8,Tx Ack
4.410,0,Rx Ack
4.414,8,Tx Data
4.414,0,Rx Data
4.414,0,Tx Ack
4.414,8,Rx Ack
4.418,8,Tx Data
4.418,0,Rx Data
4.422,8,Tx Data
4.422,0,Rx Data
4.422,0,Tx Ack
4.422,8,Rx Ack
4.426,8,Tx Data
4.426,0,Rx Data
4.430,8,Tx Data
4.430,0,Rx Data
4.430,0,Tx Ack
4.431,8,Rx Ack
4.434,8,Tx Data
4.435,0,Rx Data
4.438,8,Tx Data
4.439,0,Rx Data
4.439,0,Tx Ack
4.439,8,Rx Ack
4.443,8,Tx Data
4.443,0,Rx Data
4.447,8,Tx Data
4.447,0,Rx Data
4.447,0,Tx Ack
4.447,8,Rx Ack
4.450,8,Tx Ack
4.450,0,Rx Ack
4.450,0,Tx Ack
4.450,8,Rx Ack
4.450,8,Tx Ack
4.450,0,Rx Ack
4.611,4,Tx Ack
4.620,9,Rx Ack
4.620,9,Tx Ack
4.620,4,Rx Ack
4.624,9,Tx Data
4.624,4,Rx Data
4.624,4,Tx Ack
4.624,9,Rx Ack
4.628,9,Tx Data
4.628,4,Rx Data
4.632,9,Tx Data
4.632,4,Rx Data
4.632,4,Tx Ack
4.633,9,Rx Ack
4.636,9,Tx Data
4.637,4,Rx Data
4.640,9,Tx Data
4.641,4,Rx Data
4.641,4,Tx Ack
4.641,9,Rx Ack
4.644,9,Tx Data
4.645,4,Rx Data
4.649,9,Tx Data
4.649,4,Rx Data
4.649,4,Tx Ack
4.649,9,Rx Ack
4.650,9,Tx Ack
4.650,4,Rx Ack
4.650,4,Tx Ack
4.650,9,Rx Ack
4.650,9,Tx Ack
4.650,4,Rx Ack
5.009,2,Tx Ack
5.013,7,Rx Ack
5.013,7,Tx Ack
5.013,2,Rx Ack
5.017,7,Tx Data
5.017,2,Rx Data
5.017,2,Tx Ack
5.017,7,Rx Ack
5.021,7,Tx Data
5.021,2,Rx Data
5.025,7,Tx Data
5.025,2,Rx Data
5.025,2,Tx Ack
5.025,7,Rx Ack
5.029,7,Tx Data
5.029,2,Rx Data
5.033,7,Tx Data
5.033,2,Rx Data
5.033,2,Tx Ack
5.034,7,Rx Ack
5.037,7,Tx Data
5.038,2,Rx Data
5.041,7,Tx Data
5.042,2,Rx Data
5.042,2,Tx Ack
5.042,7,Rx Ack
5.045,7,Tx Data
5.046,2,Rx Data
5.050,7,Tx Data
5.050,2,Rx Data
5.050,2,Tx Ack
5.050,7,Rx Ack
5.050,7,Tx Ack
5.050,2,Rx Ack
5.050,2,Tx Ack
5.050,7,Rx Ack
5.050,7,Tx Ack
5.051,2,Rx Ack
5.402,10,Tx Ack
5.408,14,Rx Ack
5.408,14,Tx Ack
5.408,10,Rx Ack
5.412,14,Tx Data
5.412,10,Rx Data
5.412,10,Tx Ack
5.412,14,Rx Ack
5.416,14,Tx Data
5.416,10,Rx Data
5.420,14,Tx Data
5.420,10,Rx Data
5.420,10,Tx Ack
5.420,14,Rx Ack
5.424,14,Tx Data
5.424,10,Rx Data
5.428,14,Tx Data
5.428,10,Rx Data
5.428,10,Tx Ack
5.429,14,Rx Ack
5.432,14,Tx Data
5.432,10,Rx Data
5.436,14,Tx Data
5.437,10,Rx Data
5.437,10,Tx Ack
5.437,14,Rx Ack
5.440,14,Tx Data
5.441,10,Rx Data
5.445,14,Tx Data
5.445,10,Rx Data
5.445,10,Tx Ack
5.445,14,Rx Ack
5.449,14,Tx Data
5.449,10,Rx Data
5.450,14,Tx Ack
5.450,10,Rx Ack
5.450,10,Tx Ack
5.450,14,Rx Ack
5.450,14,Tx Ack
5.450,10,Rx Ack
6.006,3,Tx Ack
6.015,1,Rx Ack
6.015,1,Tx Ack
6.015,3,Rx Ack
6.019,1,Tx Data
6.019,3,Rx Data
6.019,3,Tx Ack
6.019,1,Rx Ack
6.023,1,Tx Data
6.023,3,Rx Data
6.027,1,Tx Data
6.027,3,Rx Data
6.027,3,Tx Ack
6.027,1,Rx Ack
6.031,1,Tx Data
6.031,3,Rx Data
6.035,1,Tx Data
6.035,3,Rx Data
6.035,3,Tx Ack
6.035,1,Rx Ack
6.039,1,Tx Data
6.039,3,Rx Data
6.043,1,Tx Data
6.043,3,Rx Data
6.043,3,Tx Ack
6.044,1,Rx Ack
6.047,1,Tx Data
6.048,3,Rx Data
6.050,1,Tx Ack
6.050,3,Rx Ack
6.050,3,Tx Ack
6.050,1,Rx Ack
6.050,1,Tx Ack
6.051,3,Rx Ack
6.202,10,Tx Ack
6.206,3,Rx Ack
6.206,3,Tx Ack
6.206,10,Rx Ack
6.210,3,Tx Data
6.210,10,Rx Data
6.210,10,Tx Ack
6.210,3,Rx Ack
6.214,3,Tx Data
6.214,10,Rx Data
6.218,3,Tx Data
6.218,10,Rx Data
6.218,10,Tx Ack
6.218,3,Rx Ack
6.222,3,Tx Data
6.222,10,Rx Data
6.226,3,Tx Data
6.226,10,Rx Data
6.226,10,Tx Ack
6.227,3,Rx Ack
6.230,3,Tx Data
6.231,10,Rx Data
6.234,3,Tx Data
6.235,10,Rx Data
6.235,10,Tx Ack
6.235,3,Rx Ack
6.239,3,Tx Data
6.239,10,Rx Data
6.243,3,Tx Data
6.243,10,Rx Data
6.243,10,Tx Ack
6.243,3,Rx Ack
6.247,3,Tx Data
6.247,10,Rx Data
6.250,3,Tx Ack
6.250,10,Rx Ack
6.250,10,Tx Ack
6.250,3,Rx Ack
6.250,3,Tx Ack
6.250,10,Rx Ack
6.404,8,Tx Ack
6.407,13,Rx Ack
6.407,13,Tx Ack
6.407,8,Rx Ack
6.411,13,Tx Data
6.411,8,Rx Data
6.411,8,Tx Ack
6.411,13,Rx Ack
6.415,13,Tx Data
6.415,8,Rx Data
6.419,13,Tx Data
6.419,8,Rx Data
6.419,8,Tx Ack
6.419,13,Rx Ack
6.423,13,Tx Data
6.423,8,Rx Data
6.427,13,Tx Data
6.427,8,Rx Data
6.427,8,Tx Ack
6.427,13,Rx Ack
6.431,13,Tx Data
6.431,8,Rx Data
6.435,13,Tx Data
6.436,8,Rx Data
6.436,8,Tx Ack
6.436,13,Rx Ack
6.439,13,Tx Data
6.440,8,Rx Data
6.444,13,Tx Data
6.444,8,Rx Data
6.444,8,Tx Ack
6.444,13,Rx Ack
6.448,13,Tx Data
6.448,8,Rx Data
6.450,13,Tx Ack
6.450,8,Rx Ack
6.450,8,Tx Ack
6.450,13,Rx Ack
6.450,13,Tx Ack
6.450,8,Rx Ack
7.011,12,Tx Ack
7.019,1,Rx Ack
7.019,1,Tx Ack
7.019,12,Rx Ack
7.023,1,Tx Data
7.023,12,Rx Data
7.023,12,Tx Ack
7.023,1,Rx Ack
7.027,1,Tx Data
7.027,12,Rx Data
7.031,1,Tx Data
7.031,12,Rx Data
7.031,12,Tx Ack
7.031,1,Rx Ack
7.035,1,Tx Data
7.035,12,Rx Data
7.039,1,Tx Data
7.039,12,Rx Data
7.039,12,Tx Ack
7.040,1,Rx Ack
7.043,1,Tx Data
7.044,12,Rx Data
7.047,1,Tx Data
7.048,12,Rx Data
7.048,12,Tx Ack
7.048,1,Rx Ack
7.050,1,Tx Ack
7.050,12,Rx Ack
7.050,12,Tx Ack
7.050,1,Rx Ack
7.050,1,Tx Ack
7.050,12,Rx Ack
8.002,0,Tx Ack
8.009,1,Rx Ack
8.009,1,Tx Ack
8.009,0,Rx Ack
8.013,1,Tx Data
8.013,0,Rx Data
8.013,0,Tx Ack
8.013,1,Rx Ack
8.017,1,Tx Data
8.017,0,Rx Data
8.021,1,Tx Data
8.021,0,Rx Data
8.021,0,Tx Ack
8.021,1,Rx Ack
8.025,1,Tx Data
8.025,0,Rx Data
8.029,1,Tx Data
8.029,0,Rx Data
8.029,0,Tx Ack
8.030,1,Rx Ack
8.033,1,Tx Data
8.033,0,Rx Data
8.037,1,Tx Data
8.038,0,Rx Data
8.038,0,Tx Ack
8.038,1,Rx Ack
8.041,1,Tx Data
8.042,0,Rx Data
8.046,1,Tx Data
8.046,0,Rx Data
8.046,0,Tx Ack
8.046,1,Rx Ack
8.050,1,Tx Data
8.050,0,Rx Data
8.050,1,Tx Ack
8.050,0,Rx Ack
8.050,0,Tx Ack
8.050,1,Rx Ack
8.050,1,Tx Ack
8.051,0,Rx Ack
8.204,5,Tx Ack
8.207,11,Rx Ack
8.207,11,Tx Ack
8.207,5,Rx Ack
8.211,11,Tx Data
8.211,5,Rx Data
8.211,5,Tx Ack
8.211,11,Rx Ack
8.215,11,Tx Data
8.215,5,Rx Data
8.219,11,Tx Data
8.219,5,Rx Data
8.219,5,Tx Ack
8.219,11,Rx Ack
8.223,11,Tx Data
8.223,5,Rx Data
8.227,11,Tx Data
8.228,5,Rx Data
8.228,5,Tx Ack
8.228,11,Rx Ack
8.231,11,Tx Data
8.232,5,Rx Data
8.236,11,Tx Data
8.236,5,Rx Data
8.236,5,Tx Ack
8.236,11,Rx Ack
8.240,11,Tx Data
8.240,5,Rx Data
8.244,11,Tx Data
8.244,5,Rx Data
8.244,5,Tx Ack
8.244,11,Rx Ack
8.248,11,Tx Data
8.248,5,Rx Data
8.250,11,Tx Ack
8.250,5,Rx Ack
8.250,5,Tx Ack
8.250,11,Rx Ack
8.250,11,Tx Ack
8.250,5,Rx Ack
8.407,0,Tx Ack
8.417,2,Rx Ack
8.417,2,Tx Ack
8.417,0,Rx Ack
8.421,2,Tx Data
8.421,0,Rx Data
8.421,0,Tx Ack
8.421,2,Rx Ack
8.425,2,Tx Data
8.425,0,Rx Data
8.429,2,Tx Data
8.429,0,Rx Data
8.429,0,Tx Ack
8.429,2,Rx Ack
8.433,2,Tx Data
8.433,0,Rx Data
8.437,2,Tx Data
8.437,0,Rx Data
8.437,0,Tx Ack
8.438,2,Rx Ack
8.441,2,Tx Data
8.441,0,Rx Data
8.445,2,Tx Data
8.446,0,Rx Data
8.446,0,Tx Ack
8.446,2,Rx Ack
8.449,2,Tx Data
8.450,0,Rx Data
8.450,2,Tx Ack
8.450,0,Rx Ack
8.450,0,Tx Ack
8.450,2,Rx Ack
8.450,2,Tx Ack
8.450,0,Rx Ack
9.004,2,Tx Ack
9.008,11,Rx Ack
9.008,11,Tx Ack
9.008,2,Rx Ack
9.012,11,Tx Data
9.012,2,Rx Data
9.012,2,Tx Ack
9.012,11,Rx Ack
9.016,11,Tx Data
9.016,2,Rx Data
9.020,11,Tx Data
9.020,2,Rx Data
9.020,2,Tx Ack
9.020,11,Rx Ack
9.024,11,Tx Data
9.024,2,Rx Data
9.028,11,Tx Data
9.028,2,Rx Data
9.028,2,Tx Ack
9.029,11,Rx Ack
9.032,11,Tx Data
9.033,2,Rx Data
9.036,11,Tx Data
9.037,2,Rx Data
9.037,2,Tx Ack
9.037,11,Rx Ack
9.040,11,Tx Data
9.041,2,Rx Data
9.045,11,Tx Data
9.045,2,Rx Data
9.045,2,Tx Ack
9.045,11,Rx Ack
