FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,585,0,100%
2,0,7,585,0,100%
3,1,2,584,0,100%
4,1,8,584,0,100%
5,2,3,583,0,100%
6,2,9,583,0,100%
7,3,4,582,0,100%
8,3,10,582,0,100%
9,4,5,581,0,100%
10,4,11,581,0,100%
11,5,6,579,0,100%
12,5,12,579,0,100%
13,6,7,578,0,100%
14,6,13,578,0,100%
15,7,8,577,0,100%
16,7,14,577,0,100%
17,8,9,576,0,100%
18,8,0,576,0,100%
19,9,10,574,0,100%
20,9,1,574,0,100%
21,10,11,573,0,100%
22,10,2,573,0,100%
23,11,12,572,0,100%
24,11,3,572,0,100%
25,12,13,571,0,100%
26,12,4,571,0,100%
27,13,14,570,0,100%
28,13,5,570,0,100%
29,14,0,568,0,100%
30,14,6,568,0,100%
